State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer,Arthritis,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
National ,  ,  ,2.5,10.8,33.1,5.1,8.4,0.2,8.2,24,11.7,17.9,27.2,3.4,0.4,13.9,0.8,40.7,57.1,26.9,6.4,3.1,3.8
Alabama ,  ,  ,2.5,11.5,38.5,5.1,7.8,0.1,7.8,26.5,14,17.9,30.2,4.6,0.3,15.9,0.6,44.7,65.2,29.6,5.9,3.3,4.3
Alabama ,Autauga ,1001,2.4,10.5,35,4.5,8.6,* ,8.5,25.6,13.8,16.9,30.4,3.2,0.3,15.9,0.5,49,63.7,31.3,6.4,3,4.1
Alabama ,Baldwin ,1003,2.1,10.9,37.7,4.9,9.5,0.1,8.6,21.7,11.6,16.7,23.8,4,0.2,12.9,0.5,44.1,60.3,31.9,6.3,2.1,3.9
Alabama ,Barbour ,1005,4.7,11.5,37.5,5.5,6.9,* ,8.3,28.3,10.6,16.3,33.8,5,0.7,13.8,0.4,46.6,67.2,26.4,4.7,4.5,4.6
Alabama ,Bibb ,1007,2.9,10.8,37.8,4.9,9,0,7.2,29.5,13.7,18.9,32.8,4.5,* ,17.4,0.9,48.5,67.9,28,6.1,3.6,5.5
Alabama ,Blount ,1009,2,11.5,34.2,5.3,8.4,* ,6.7,24.6,15,20.6,28.5,4.8,* ,16.3,0.7,46.5,63.8,30.6,5.7,2.8,4.4
Alabama ,Bullock ,1011,2.6,12.2,42.9,4.1,5.2,0,8.1,25,11.2,8.8,37.6,2.5,* ,17.1,* ,40.3,70,26.1,3.2,4.4,2.8
Alabama ,Butler ,1013,2.2,12.7,38.8,4.7,6.7,* ,7.1,26.9,16.6,14.4,37,2.5,* ,18.3,* ,43.7,70.6,28.7,3.7,4,4.6
Alabama ,Calhoun ,1015,2.8,11.6,42.3,5.6,7.5,0.1,7.3,27.8,17.4,20,30.6,6,0.3,17,0.8,45.7,65.8,34.6,6,2.7,3.9
Alabama ,Chambers ,1017,2.2,11.7,36.3,4,6.5,* ,7.1,28.3,14.6,13.8,35.1,3.7,0.5,17.2,0.5,40.4,67,31.8,4.5,3.5,3.5
Alabama ,Cherokee ,1019,3,10.2,38.3,4.7,7.3,* ,7.1,30.9,19.7,20.9,29.1,7,* ,18.9,0.9,50.9,64.2,30.5,4.3,2.7,3.3
Alabama ,Chilton ,1021,2.2,12.3,41.8,5.1,8.7,* ,7.5,30.5,13.9,21.8,29.3,3.8,0.3,17.3,0.7,43.8,65.4,36.1,5,4.1,3.7
Alabama ,Choctaw ,1023,2.2,12.5,51.1,3.5,7.1,* ,7,25.7,10.3,13.6,34.1,8.6,* ,15.4,* ,41.4,73.2,25.8,3,2.7,4.2
Alabama ,Clarke ,1025,1.7,12.2,35,3.6,7.8,* ,6.7,20.5,11.3,11.9,31.3,2.5,* ,17.1,* ,29.2,60.6,27.1,2.3,3.2,4
Alabama ,Clay ,1027,3.1,12.4,38.1,4.2,7.2,0,6.1,25.9,16.4,19.1,29.7,3.9,* ,18.1,* ,46.3,65.9,30.8,4.5,3.1,2.9
